Experiment,Prediction1,Prediction2,label
0.836835,0.981137719,0.806175476,Day1p_DVH
0.95151248,0.99498619,0.94251273,Day1s_DVH
0.60604089,0.867270859,0.655191243,Day2p_DVH
0.97942954,0.997461247,0.849551269,Day2s_DVH
0.5943639,0.908383013,0.641631412,Day3p_DVH
0.97237217,0.996568718,0.847825669,Day3s_DVH
0.59486957,0.888633554,0.642239553,Day4p_DVH
0.95699891,0.994585173,0.843941915,Day4s_DVH
0.5630861,0.958563188,0.599769044,Day5p_DVH
0.95545121,0.994382439,0.8435411,Day5s_DVH
0.69535781,0.918978779,0.733597739,Day6p_DVH
0.95206043,0.993936305,0.84265652,Day6s_DVH