,Sample_Name,EPD,Type,Reactor,Sample_type,Month,Day,condition
1,EPD_P_A_5-8,EPD,P,A,Planktonic,5,8,EPD.P.5.8
2,EPD_P_A_5-9,EPD,P,A,Planktonic,5,9,EPD.P.5.9
3,EPD_P_A_5-10,EPD,P,A,Planktonic,5,10,EPD.P.5.10
4,EPD_P_A_5-11,EPD,P,A,Planktonic,5,11,EPD.P.5.11
5,EPD_P_A_5-12,EPD,P,A,Planktonic,5,12,EPD.P.5.12
6,EPD_P_A_5-13,EPD,P,A,Planktonic,5,13,EPD.P.5.13
7,EPD_S_A_5-8,EPD,S,A,Sediment,5,8,EPD.S.5.8
8,EPD_S_A_5-9,EPD,S,A,Sediment,5,9,EPD.S.5.9
9,EPD_S_A_5-10,EPD,S,A,Sediment,5,10,EPD.S.5.10
10,EPD_S_A_5-11,EPD,S,A,Sediment,5,11,EPD.S.5.11
11,EPD_S_A_5-13,EPD,S,A,Sediment,5,13,EPD.S.5.13
12,EPD_P_B_5-8,EPD,P,B,Planktonic,5,8,EPD.P.5.8
13,EPD_P_B_5-9,EPD,P,B,Planktonic,5,9,EPD.P.5.9
14,EPD_P_B_5-10,EPD,P,B,Planktonic,5,10,EPD.P.5.10
15,EPD_P_B_5-11,EPD,P,B,Planktonic,5,11,EPD.P.5.11
16,EPD_P_B_5-12,EPD,P,B,Planktonic,5,12,EPD.P.5.12
17,EPD_P_B_5-13,EPD,P,B,Planktonic,5,13,EPD.P.5.13
18,EPD_S_B_5-8,EPD,S,B,Sediment,5,8,EPD.S.5.8
19,EPD_S_B_5-9,EPD,S,B,Sediment,5,9,EPD.S.5.9
20,EPD_S_B_5-10,EPD,S,B,Sediment,5,10,EPD.S.5.10
21,EPD_S_B_5-11,EPD,S,B,Sediment,5,11,EPD.S.5.11
22,EPD_S_B_5-12,EPD,S,B,Sediment,5,12,EPD.S.5.12
23,EPD_S_B_5-13,EPD,S,B,Sediment,5,13,EPD.S.5.13
24,EPD_P_C_5-8,EPD,P,C,Planktonic,5,8,EPD.P.5.8
25,EPD_P_C_5-9,EPD,P,C,Planktonic,5,9,EPD.P.5.9
26,EPD_P_C_5-10,EPD,P,C,Planktonic,5,10,EPD.P.5.10
27,EPD_P_C_5-11,EPD,P,C,Planktonic,5,11,EPD.P.5.11
28,EPD_P_C_5-12,EPD,P,C,Planktonic,5,12,EPD.P.5.12
29,EPD_P_C_5-13,EPD,P,C,Planktonic,5,13,EPD.P.5.13
30,EPD_S_C_5-8,EPD,S,C,Sediment,5,8,EPD.S.5.8
31,EPD_S_C_5-9,EPD,S,C,Sediment,5,9,EPD.S.5.9
32,EPD_S_C_5-10,EPD,S,C,Sediment,5,10,EPD.S.5.10
33,EPD_S_C_5-11,EPD,S,C,Sediment,5,11,EPD.S.5.11
34,EPD_S_C_5-12,EPD,S,C,Sediment,5,12,EPD.S.5.12
35,EPD_S_C_5-13,EPD,S,C,Sediment,5,13,EPD.S.5.13